Year,Location,Bedrooms,Property_type,Rent
2009,"Ballycullen, Dublin 24",All bedrooms,All property types,1176.45
2009,"Citywest, Dublin 24",All bedrooms,All property types,1096.84
2009,"Firhouse, Dublin 24",All bedrooms,All property types,1153.96
2009,"Tallaght, Dublin 24",All bedrooms,All property types,1038.24
2010,Dublin,All bedrooms,All property types,1042.41
2010,"Balbriggan, Dublin",All bedrooms,All property types,806.6
2010,"Blackrock, Dublin",All bedrooms,All property types,1271.66
2010,"Booterstown, Dublin",All bedrooms,All property types,1421.54
2010,"Dalkey, Dublin",All bedrooms,All property types,1481.72
2010,"Donabate, Dublin",All bedrooms,All property types,859.29
2010,"Dun Laoghaire, Dublin",All bedrooms,All property types,1106.64
2010,"Glenageary, Dublin",All bedrooms,All property types,1379.01
2010,"Howth, Dublin",All bedrooms,All property types,1213.82
2010,"Killiney, Dublin",All bedrooms,All property types,1404.48
2010,"Kinsealy, Dublin",All bedrooms,All property types,1009.07
2010,"Lucan, Dublin",All bedrooms,All property types,1004.9
2010,"Lusk, Dublin",All bedrooms,All property types,945.85
2010,"Malahide, Dublin",All bedrooms,All property types,1234.85
2010,"Monkstown, Dublin",All bedrooms,All property types,1060.78
2010,"Mount Merrion, Dublin",All bedrooms,All property types,1612.44
2010,"Portmarnock, Dublin",All bedrooms,All property types,1113.54
2010,"Rathcoole, Dublin",All bedrooms,All property types,880.39
2010,"Rush, Dublin",All bedrooms,All property types,921.38
2010,"Saggart, Dublin",All bedrooms,All property types,999.72
2010,"Sandycove, Dublin",All bedrooms,All property types,1305.79
2010,"Shankill, Dublin",All bedrooms,All property types,1127.69
2010,"Skerries, Dublin",All bedrooms,All property types,929.14
2010,"Stillorgan, Dublin",All bedrooms,All property types,1277.94
2010,"Swords, Dublin",All bedrooms,All property types,966.86
2010,Dublin 1,All bedrooms,All property types,976.84
2010,"I.F.S.C., Dublin 1",All bedrooms,All property types,1136.43
2010,"Parnell Street, Dublin 1",All bedrooms,All property types,1073.66
2010,"Spencer Dock, Dublin 1",All bedrooms,All property types,1288.72
2010,"Summerhill, Dublin 1",All bedrooms,All property types,1013.79
2010,Dublin 2,All bedrooms,All property types,1171.63
2010,"Aungier Street, Dublin 2",All bedrooms,All property types,930.18
2010,"Charlemont Street, Dublin 2",All bedrooms,All property types,1237.5
2010,"Grand Canal Dock, Dublin 2",All bedrooms,All property types,1435.05
2010,"Grand Canal Square, Dublin 2",All bedrooms,All property types,1511.7
2010,"Hanover Quay, Dublin 2",All bedrooms,All property types,1628.45
2010,"Lower Mount Street, Dublin 2",All bedrooms,All property types,1047.7
2010,"Pearse Street, Dublin 2",All bedrooms,All property types,1061.06
2010,"Tara Street, Dublin 2",All bedrooms,All property types,1021.1
2010,"Temple Bar, Dublin 2",All bedrooms,All property types,1134.14
2010,"Townsend Street, Dublin 2",All bedrooms,All property types,1094.57
2010,Dublin 3,All bedrooms,All property types,972.47
2010,"Clonliffe, Dublin 3",All bedrooms,All property types,890.32
2010,"Clontarf, Dublin 3",All bedrooms,All property types,1022.58
2010,"Drumcondra, Dublin 3",All bedrooms,All property types,980.1
2010,"East Wall, Dublin 3",All bedrooms,All property types,943.73
2010,"Fairview, Dublin 3",All bedrooms,All property types,873.26
2010,"Marino, Dublin 3",All bedrooms,All property types,1117.26
2010,"North Strand, Dublin 3",All bedrooms,All property types,914.06
2010,Dublin 4,All bedrooms,All property types,1284.2
2010,"Ballsbridge, Dublin 4",All bedrooms,All property types,1362.4
2010,"Donnybrook, Dublin 4",All bedrooms,All property types,1306.79
2010,"Irishtown, Dublin 4",All bedrooms,All property types,1132.22
2010,"Merrion, Dublin 4",All bedrooms,All property types,1217.82
2010,"Pembroke, Dublin 4",All bedrooms,All property types,1251.27
2010,"Ringsend, Dublin 4",All bedrooms,All property types,1168.8
2010,"Sandymount, Dublin 4",All bedrooms,All property types,1429.71
2010,Dublin 5,All bedrooms,All property types,1053.89
2010,"Artane, Dublin 5",All bedrooms,All property types,1053.18
2010,"Killester, Dublin 5",All bedrooms,All property types,1043.77
2010,"Raheny, Dublin 5",All bedrooms,All property types,1091.04
2010,Dublin 6,All bedrooms,All property types,992.25
2010,"Dartry, Dublin 6",All bedrooms,All property types,1315.01
2010,"Harolds Cross, Dublin 6",All bedrooms,All property types,1037.59
2010,"Milltown, Dublin 6",All bedrooms,All property types,1250.95
